detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
title-only movie match,130,F:\MediaStack\data\media\movies\Hotel Rwanda (2004)\Hotel Rwanda (2004) [WEBDL-1080p] {imdb-tt0395169}.mkv,2590,hotel-rwanda,movie,imdb://tt0395169,F:\MediaStack\data\media\movies\Hotel Rwanda (2004)\Hotel Rwanda (2004) [WEBDL-1080p] {imdb-tt0395169}.leapfrog.json,written,Hotel Rwanda
title-only movie match,183,F:\MediaStack\data\media\movies\Hotel Transylvania (2012)\Hotel Transylvania (2012) [Bluray-1080p] {imdb-tt0837562}.mkv,1815,hotel-transylvania,movie,imdb://tt0837562,F:\MediaStack\data\media\movies\Hotel Transylvania (2012)\Hotel Transylvania (2012) [Bluray-1080p] {imdb-tt0837562}.leapfrog.json,written,Hotel Transylvania
title-only movie match,141,F:\MediaStack\data\media\movies\Hotel Transylvania 2 (2015)\Hotel Transylvania 2 (2015) [Bluray-1080p] {imdb-tt2510894}.mkv,2466,hotel-transylvania-2,movie,imdb://tt2510894,F:\MediaStack\data\media\movies\Hotel Transylvania 2 (2015)\Hotel Transylvania 2 (2015) [Bluray-1080p] {imdb-tt2510894}.leapfrog.json,written,Hotel Transylvania 2
title-only movie match,136,F:\MediaStack\data\media\movies\Hotel Transylvania 3 - Summer Vacation (2018)\Hotel Transylvania 3 Summer Vacation (2018) [Bluray-1080p] {imdb-tt5220122}.mp4,670108,hotel-transylvania-3-summer-vacation,movie,imdb://tt5220122,F:\MediaStack\data\media\movies\Hotel Transylvania 3 - Summer Vacation (2018)\Hotel Transylvania 3 Summer Vacation (2018) [Bluray-1080p] {imdb-tt5220122}.leapfrog.json,written,Hotel Transylvania 3: Summer Vacation
title-only movie match,88,F:\MediaStack\data\media\movies\Hotel Transylvania - Transformania (2022)\Hotel Transylvania Transformania (2022) [Bluray-1080p] {imdb-tt9848626}.mkv,686675,hotel-transylvania-transformania,movie,imdb://tt9848626,F:\MediaStack\data\media\movies\Hotel Transylvania - Transformania (2022)\Hotel Transylvania Transformania (2022) [Bluray-1080p] {imdb-tt9848626}.leapfrog.json,written,Hotel Transylvania: Transformania
title-only movie match,96,F:\MediaStack\data\media\movies\The Hours (2002)\The Hours (2002) [Bluray-1080p] {imdb-tt0274558}.mkv,3760,the-hours,movie,imdb://tt0274558,F:\MediaStack\data\media\movies\The Hours (2002)\The Hours (2002) [Bluray-1080p] {imdb-tt0274558}.leapfrog.json,written,The Hours
title-only movie match,123,F:\MediaStack\data\media\movies\The House with a Clock in Its Walls (2018)\The House with a Clock in Its Walls (2018) [Bluray-1080p] {imdb-tt2119543}.mkv,670589,the-house-with-a-clock-in-its-walls,movie,imdb://tt2119543,F:\MediaStack\data\media\movies\The House with a Clock in Its Walls (2018)\The House with a Clock in Its Walls (2018) [Bluray-1080p] {imdb-tt2119543}.leapfrog.json,written,The House with a Clock in Its Walls
title-only movie match,124,F:\MediaStack\data\media\movies\How the Grinch Stole Christmas (2000)\How the Grinch Stole Christmas (2000) [Bluray-1080p] {imdb-tt0170016}.mkv,2309,dr-seuss-how-the-grinch-stole-christmas,movie,imdb://tt0170016,F:\MediaStack\data\media\movies\How the Grinch Stole Christmas (2000)\How the Grinch Stole Christmas (2000) [Bluray-1080p] {imdb-tt0170016}.leapfrog.json,written,How the Grinch Stole Christmas
title-only movie match,124,F:\MediaStack\data\media\movies\How the Grinch Stole Christmas! (1966)\How the Grinch Stole Christmas! (1966) [Bluray-1080p] {imdb-tt0060345}.mkv,2309,dr-seuss-how-the-grinch-stole-christmas,movie,imdb://tt0060345,F:\MediaStack\data\media\movies\How the Grinch Stole Christmas! (1966)\How the Grinch Stole Christmas! (1966) [Bluray-1080p] {imdb-tt0060345}.leapfrog.json,written,How the Grinch Stole Christmas!
title-only movie match,56,F:\MediaStack\data\media\movies\How to Train Your Dragon 2 (2014)\How to Train Your Dragon 2 (2014) [Bluray-1080p] {imdb-tt1646971}.mkv,1571,how-to-train-your-dragon-2,movie,imdb://tt1646971,F:\MediaStack\data\media\movies\How to Train Your Dragon 2 (2014)\How to Train Your Dragon 2 (2014) [Bluray-1080p] {imdb-tt1646971}.leapfrog.json,written,How to Train Your Dragon 2
title-only movie match,124,F:\MediaStack\data\media\movies\How to Train Your Dragon - The Hidden World (2019)\How to Train Your Dragon The Hidden World (2019) [Bluray-1080p] {imdb-tt2386490}.mkv,671693,how-to-train-your-dragon-the-hidden-world,movie,imdb://tt2386490,F:\MediaStack\data\media\movies\How to Train Your Dragon - The Hidden World (2019)\How to Train Your Dragon The Hidden World (2019) [Bluray-1080p] {imdb-tt2386490}.leapfrog.json,written,How to Train Your Dragon: The Hidden World
title-only movie match,164,F:\MediaStack\data\media\movies\Hubie Halloween (2020)\Hubie Halloween (2020) [WEBDL-1080p] {imdb-tt10682266}.mkv,681321,hubie-halloween,movie,imdb://tt10682266,F:\MediaStack\data\media\movies\Hubie Halloween (2020)\Hubie Halloween (2020) [WEBDL-1080p] {imdb-tt10682266}.leapfrog.json,written,Hubie Halloween
title-only movie match,123,F:\MediaStack\data\media\movies\The Holiday (2006)\The Holiday (2006) [Bluray-1080p] {imdb-tt0457939}.mkv,1600,the-holiday-2006,movie,imdb://tt0457939,F:\MediaStack\data\media\movies\The Holiday (2006)\The Holiday (2006) [Bluray-1080p] {imdb-tt0457939}.leapfrog.json,written,The Holiday
title-only movie match,204,F:\MediaStack\data\media\movies\Holmes & Watson (2018)\Holmes and Watson (2018) [WEBDL-1080p] {imdb-tt1255919}.mkv,671767,holmes-watson,movie,imdb://tt1255919,F:\MediaStack\data\media\movies\Holmes & Watson (2018)\Holmes and Watson (2018) [WEBDL-1080p] {imdb-tt1255919}.leapfrog.json,written,Holmes & Watson
title-only movie match,234,F:\MediaStack\data\media\movies\Home for the Holidays (1995)\Home for the Holidays (1995) [Bluray-1080p] {imdb-tt0113321}.mp4,2297,home-for-the-holidays,movie,imdb://tt0113321,F:\MediaStack\data\media\movies\Home for the Holidays (1995)\Home for the Holidays (1995) [Bluray-1080p] {imdb-tt0113321}.leapfrog.json,written,Home for the Holidays
