show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
Killer Inside: The Mind of Aaron Hernandez,killer-inside-the-mind-of-aaron-hernandez-024d3,netflix,2020,TV-MA,1,3,213,5,3
Killing It,killing-it-a276d,peacock,2022,TV-MA,2,18,2188,5,18
Kim's Convenience,kims-convenience-a4f12,netflix,2016,TV-MA,5,65,934,5,65
King & Conqueror,king-conqueror-964dd,amazon-prime,2025,TV-MA,1,8,402,4,8
Kleo,kleo-e580a,netflix,2022,TV-MA,2,14,923,5,14
Knuckles,knuckles-2bdbc,amazon-channels-paramount,2024,TV-PG,1,6,294,5,6
Kung Fu Panda: The Dragon Knight,kung-fu-panda-the-dragon-knight-ed794,netflix,2022,TV-Y7,1,11,390,5,11
La Brea,la-brea-ca57d,peacock,2021,TV-14,2,24,938,5,24
La Maison,la-maison-03388,appletv,2024,TV-14,1,10,562,5,10
La Palma,la-palma-7e6b1,netflix,2024,TV-MA,1,4,186,5,4
Lady Dynamite,lady-dynamite-bc9b2,netflix,2016,TV-MA,1,11,890,5,11
Lady in the Lake,lady-in-the-lake-cc20b,appletv,2024,TV-MA,1,7,608,5,7
Land of Women,land-of-women-d72db,appletv,2024,TV-MA,1,6,342,5,6
Landman,landman-f4bc9,paramount,2024,TV-MA,2,20,3625,5,20
Last Chance U,last-chance-u-da9c6,netflix,2016,TV-MA,5,38,7040,5,38
Last Chance U: Basketball,last-chance-u-basketball-7281d,netflix,2021,TV-MA,2,16,2144,4,16
Last Samurai Standing,last-samurai-standing-1ef54,netflix,2025,TV-MA,1,6,371,4,6
Law & Order: Organized Crime,law-order-organized-crime-66ab2,peacock,2021,TV-14,3,52,2589,5,52
Lawmen: Bass Reeves,lawmen-bass-reeves-b2f3d,paramount,2023,TV-MA,1,8,422,4,8
Lessons in Chemistry,lessons-in-chemistry-3c5e2,appletv,2023,TV-MA,1,8,206,5,8
Leverage: Redemption,leverage-redemption-d9c33,amazon-prime,2021,TV-14,3,39,1568,5,39
Life,life-49cf1,peacock,2007,TV-14,1,11,579,5,11
Lilyhammer,lilyhammer-f3b2c,netflix,2012,TV-MA,3,24,2536,5,24
Limitless,limitless-7f827,amazon-channels-paramount,2015,TV-14,1,22,786,5,22
Line of Duty,line-of-duty-fb5cf,amazon-prime,2012,TV-MA,6,36,1617,5,36
Lioness,lioness-029c0,paramount,2023,TV-MA,2,16,1945,5,16
Little America,little-america-be66b,appletv,2020,TV-14,2,16,381,5,16
Little Disasters,little-disasters-a31b7,paramount,2025,TV-14,1,6,425,5,6
Living Scriptures Animated Stories,living-scriptures-animated-stories-e89cc,vidangel,1987,NR,1,12,157,5,12
Living with Yourself,living-with-yourself-e4c19,netflix,2019,TV-MA,1,8,391,4,8
Locke & Key,locke-key-05606,netflix,2020,TV-14,3,28,1186,5,28
Lockerbie: A Search for Truth,lockerbie-a-search-for-truth-671cd,peacock,2025,TV-MA,1,5,115,4,5
Lockwood & Co.,lockwood-co-597c9,netflix,2023,TV-14,1,8,314,5,8
Lonesome Dove,lonesome-dove-2d18e,amazon-prime,1989,TV-14,1,4,515,5,4
Long Bright River,long-bright-river-7ef47,peacock,2025,TV-MA,1,8,404,5,8
Long Way Home,long-way-home-5213c,appletv,2025,TV-14,1,10,336,5,10
Loot,loot-97f8f,appletv,2022,TV-MA,3,30,1784,5,30
Lord of the Flies,lord-of-the-flies-a8dd9,netflix,2026,TV-MA,1,4,169,4,4
Lore,lore-9ebf8,amazon-prime,2017,TV-14,2,12,654,5,12
Lost in Space,lost-in-space-7f589,netflix,2018,TV-PG,3,28,871,5,28
Love,love-9b8de,netflix,2016,TV-MA,1,10,1017,5,10
Love & Anarchy,love-anarchy-5eb99,netflix,2020,TV-MA,1,8,413,5,8
Love 101,love-101-56ff7,netflix,2020,TV-MA,1,8,548,5,8
Love Is Blind,love-is-blind-b6009,netflix,2020,TV-MA,10,136,21437,5,136
Love Is Blind: UK,love-is-blind-uk-a4dc2,netflix,2024,TV-MA,2,23,3145,3,23
Love on the Spectrum,love-on-the-spectrum-0e216,netflix,2022,TV-14,4,27,1140,5,27
"Love, Death & Robots",love-death-robots-9b1ae,netflix,2019,TV-MA,3,35,1707,5,35
Lucan,lucan-42c09,amazon-channels-britbox,2013,TV-14,1,2,163,5,2
Lucky Hank,lucky-hank-be39c,amazon,2023,TV-14,1,8,396,5,8
Ludik,ludik-1db88,netflix,2022,TV-MA,1,6,614,5,6
LuLaRich,lularich-d6097,amazon-prime,2021,TV-14,1,4,95,5,4
Lupin,lupin-88ff2,netflix,2021,TV-MA,3,17,577,5,17
Luther,luther-8c5a2,amazon-channels-amc,2010,TV-14,5,20,1293,5,20
M.I.A.,mia-87cd3,peacock,2026,TV-MA,1,9,1124,5,9
MacGruber,macgruber-0f9c2,peacock,2021,TV-MA,1,8,800,4,8
MacGyver,macgyver-83b94,paramount,2016,TV-14,5,94,3655,5,94
Mad Men,mad-men-c8f62,amazon-channels-amc,2007,TV-14,7,92,3949,5,92
Madam Secretary,madam-secretary-eb333,amazon,2014,TV-14,6,120,2959,5,120
Made for March,made-for-march-833b6,paramount,2026,TV-14,1,4,88,3,4
Madoff: The Monster of Wall Street,madoff-the-monster-of-wall-street-92ede,netflix,2023,TV-MA,1,4,77,4,4
Making a Murderer,making-a-murderer-9f54d,netflix,2015,TV-14,2,20,517,5,20
Making It,making-it-954ca,amazon,2018,NR,2,10,151,5,10
Making Their Mark,making-their-mark-276f9,amazon-prime,2021,TV-MA,1,7,586,4,7
Malice,malice-1ebbf,amazon-prime,2025,TV-MA,1,6,518,5,6
Mammals,mammals-9b92d,amazon-prime,2022,TV-MA,1,6,264,4,6
Man vs Baby,man-vs-baby-d95dc,netflix,2025,TV-PG,1,4,71,4,4
Man vs Bee,man-vs-bee-0455f,netflix,2022,TV-PG,1,9,129,5,9
Manhunt,manhunt-ef31f,appletv,2024,TV-MA,1,7,253,5,7
Maniac,maniac-efb40,netflix,2018,TV-MA,1,10,476,5,10
Marcella,marcella-4fa68,netflix,2016,TV-MA,3,24,1176,5,24
Marco Polo,marco-polo-a7304,netflix,2014,TV-MA,2,20,1082,5,20
Margo's Got Money Troubles,margos-got-money-troubles-31a1f,appletv,2026,TV-MA,1,8,979,5,8
Marie Antoinette,marie-antoinette-0762c,amazon-channels-pbs,2022,TV-14,2,16,1525,5,16
Marshals,marshals-eff26,paramount,2026,TV-14,1,12,723,5,12
Master of None,master-of-none-c5440,netflix,2015,TV-MA,3,25,1399,5,25
Masters of the Air,masters-of-the-air-60f98,appletv,2024,TV-MA,1,9,729,5,9
Masters of the Universe: Revelation,masters-of-the-universe-revelation-e8fc8,netflix,2021,TV-PG,1,5,229,3,5
Matlock,matlock-c3023,paramount,2024,TV-14,2,35,1095,5,35
Maxton Hall – The World Between Us,maxton-hall-the-world-between-us-d8491,amazon-prime,2024,TV-MA,2,12,736,5,12
Maya and the Three,maya-and-the-three-bff61,netflix,2021,TV-Y7,1,9,737,5,9
Mayfair Witches,mayfair-witches-2438a,netflix,2023,TV-MA,2,16,894,5,16
Mayor of Kingstown,mayor-of-kingstown-d1080,paramount,2021,TV-MA,4,40,8542,5,40
Medal of Honor,medal-of-honor-35e16,netflix,2018,TV-MA,1,8,384,4,8
Medici: Masters of Florence,medici-masters-of-florence-edd81,amazon-prime,2016,TV-14,3,24,1385,5,24
Medusa,medusa-cb9de,netflix,2025,TV-MA,1,12,1089,5,12
Meltdown: Three Mile Island,meltdown-three-mile-island-31e31,netflix,2022,TV-14,1,4,58,4,4
Merlin,merlin-e0bf3,amazon-prime,2008,TV-14,5,65,2652,5,65
Merry Happy Whatever,merry-happy-whatever-60271,netflix,2019,TV-PG,1,8,230,5,8
Messi Meets America,messi-meets-america-3f311,appletv,2023,TV-PG,1,6,84,4,6
Messi's World Cup: The Rise of a Legend,messis-world-cup-the-rise-of-a-legend-27201,appletv,2024,TV-PG,1,4,77,5,4
Messiah,messiah-c0ee2,netflix,2020,TV-MA,1,10,286,5,10
MH370: The Plane That Disappeared,mh370-the-plane-that-disappeared-e6655,netflix,2023,TV-14,1,3,30,4,3
Midnight Family,midnight-family-d162f,appletv,2024,TV-MA,1,10,1395,5,10
Midnight Mass,midnight-mass-0681d,netflix,2021,TV-MA,1,7,522,5,7
Million Dollar Secret,million-dollar-secret-0465a,netflix,2025,TV-14,2,16,1630,5,16
MINDHUNTER,mindhunter-c3418,netflix,2017,TV-MA,2,19,1378,5,19
Misfits,misfits-ed50c,amazon,2009,TV-MA,1,6,1063,5,6
Miss Governor,miss-governor-0abf9,netflix,2025,TV-MA,1,16,1037,5,16
Missing You,missing-you-310d0,netflix,2025,TV-MA,1,5,257,4,5
Missing: Dead or Alive?,missing-dead-or-alive-da3fd,netflix,2023,TV-MA,2,8,239,5,8
Mistletoe Murders,mistletoe-murders-7be27,amazon-channels-hallmark,2024,TV-G,1,6,111,5,6
Mo,mo-f8c15,netflix,2022,TV-MA,2,16,1115,5,16
MobLand,mobland-076ee,paramount,2025,TV-MA,1,10,1086,5,10
Modern Love,modern-love-39880,amazon-prime,2019,TV-MA,2,16,730,5,16
Monarca,monarca-2d0d7,netflix,2019,TV-MA,2,18,883,5,18
Monarch: Legacy of Monsters,monarch-legacy-of-monsters-48585,appletv,2023,TV-14,2,20,910,5,20
Money Heist,money-heist-b82e1,netflix,2017,TV-MA,5,48,4447,5,48
Monk,monk-c40c3,amazon-prime,2002,TV-PG,8,124,6213,5,124
Monsieur Spade,monsieur-spade-d6c66,amazon-channels-amc,2024,TV-MA,1,6,370,5,6
Monster: The Ed Gein Story,monster-the-ed-gein-story-cb543,netflix,2025,TV-MA,1,8,845,5,8
Monsters Inside: The 24 Faces of Billy Milligan,monsters-inside-the-24-faces-of-billy-milligan-66ac3,netflix,2021,TV-14,1,4,198,5,4
Monsters: The Lyle and Erik Menendez Story,monsters-the-lyle-and-erik-menendez-story-4de8e,netflix,2024,TV-MA,1,9,966,5,9
Motorheads,motorheads-7532f,amazon-prime,2025,TV-14,1,10,373,5,10
Mozart in the Jungle,mozart-in-the-jungle-fc1e7,amazon-prime,2014,TV-MA,4,40,2536,5,40
Mr. & Mrs. Smith,mr-mrs-smith-ea12a,amazon-prime,2024,TV-MA,1,8,697,5,8
Mr. Corman,mr-corman-8828e,appletv,2021,TV-MA,1,10,380,5,10
Mr. Good: Cop or Crook?,mr-good-cop-or-crook-5b36c,netflix,2022,TV-14,1,4,140,5,4
Mr. Iglesias,mr-iglesias-8423c,netflix,2019,TV-14,3,21,602,5,21
Mr. McMahon,mr-mcmahon-9efda,netflix,2024,TV-MA,1,6,940,5,6
Mr. Robot,mr-robot-97078,amazon,2015,TV-MA,4,45,2784,5,45
Mr. Sunshine,mr-sunshine-02077,netflix,2018,TV-MA,1,24,1152,5,24
Mr. Throwback,mr-throwback-6055c,peacock,2024,TV-MA,1,6,412,5,6
Murdaugh Murders: A Southern Scandal,murdaugh-murders-a-southern-scandal-29241,netflix,2023,TV-MA,2,6,227,5,6
Murder Among the Mormons,murder-among-the-mormons-0edc5,netflix,2021,TV-14,1,3,49,5,3
Murder City,murder-city-b9967,amazon-prime,2004,TV-MA,1,6,501,5,6
Murderbot,murderbot-beb3a,appletv,2025,TV-MA,1,10,529,5,10
Murderville,murderville-13fbb,netflix,2022,TV-MA,1,6,367,4,6
Muted,muted-2ef78,netflix,2023,TV-MA,1,6,259,5,6
My Lady Jane,my-lady-jane-f75d3,amazon-prime,2024,TV-14,1,8,988,5,8
My Life with the Walter Boys,my-life-with-the-walter-boys-97ee8,netflix,2023,TV-14,2,20,833,5,20
My Name,my-name-0ec10,netflix,2021,TV-MA,1,8,669,5,8
My Next Guest Needs No Introduction with David Letterman,my-next-guest-needs-no-introduction-with-david-letterman-8536f,netflix,2018,TV-MA,4,23,903,5,23
Mythic Quest,mythic-quest-ac872,appletv,2020,TV-MA,4,40,2079,5,40
Narco-Saints,narco-saints-e4b7d,netflix,2022,TV-MA,1,6,494,5,6
Narcos,narcos-cd357,netflix,2015,TV-MA,3,30,3291,5,30
Narcos: Mexico,narcos-mexico-3dbc9,netflix,2018,TV-MA,3,30,4496,5,30
NCIS,ncis-ea837,paramount,2003,TV-14,23,505,22329,5,505
NCIS: Origins,ncis-origins-1edce,paramount,2024,TV-14,2,36,2193,5,36
NCIS: Tony & Ziva,ncis-tony-ziva-7ce19,paramount,2025,TV-MA,1,10,591,5,10
Never Have I Ever,never-have-i-ever-07895,netflix,2020,TV-14,4,40,2181,5,40
Next in Fashion,next-in-fashion-849f8,netflix,2020,TV-14,1,10,1000,5,10
Night Sky,night-sky-b48ce,amazon-prime,2022,TV-MA,1,8,195,5,8
Night Stalker: The Hunt for a Serial Killer,night-stalker-the-hunt-for-a-serial-killer-fba53,netflix,2021,TV-MA,1,4,222,4,4
Nine Bodies in a Mexican Morgue,nine-bodies-in-a-mexican-morgue-8b4be,amazon-channels-mgm,2025,TV-MA,1,6,441,4,6
No Good Deed,no-good-deed-d0af4,netflix,2024,TV-MA,1,8,645,5,8
No Good Nick,no-good-nick-fd078,netflix,2019,TV-PG,2,20,399,5,20
Norsemen,norsemen-e789e,netflix,2016,TV-MA,3,18,978,4,18
North of North,north-of-north-23d1a,netflix,2025,TV-14,1,8,254,5,8
Northern Exposure,northern-exposure-7e38c,amazon,1990,TV-14,6,110,3153,5,110
Northern Rescue,northern-rescue-a33a5,netflix,2019,TV-14,1,10,353,5,10
Numb3rs,numb3rs-4120e,amazon,2005,TV-14,1,13,338,5,13
Nurse Jackie,nurse-jackie-86eaf,netflix,2009,TV-MA,2,24,1294,5,24
Obliterated,obliterated-2acf1,netflix,2023,TV-MA,1,8,2777,5,8
October Faction,october-faction-fb024,netflix,2020,TV-MA,1,10,900,5,10
Off Campus,off-campus-75cc7,amazon-prime,2026,TV-MA,1,8,1358,5,8
Omniscient,omniscient-234b6,netflix,2020,TV-MA,1,6,206,4,6
On Call,on-call-c857a,amazon-prime,2025,TV-MA,1,8,730,5,8
On My Block,on-my-block-acf8d,netflix,2018,TV-14,4,38,2509,5,38
On the Verge,on-the-verge-7bd86,netflix,2021,TV-MA,1,12,694,5,12
One Day,one-day-c7e38,netflix,2024,TV-MA,1,14,591,5,14
One Day at a Time,one-day-at-a-time-0317d,netflix,2017,TV-PG,2,26,1155,5,26
One Hundred Years of Solitude,one-hundred-years-of-solitude-431af,netflix,2024,TV-MA,1,8,488,5,8
One of Us Is Lying,one-of-us-is-lying-2d93d,peacock,2021,TV-MA,2,16,1749,5,16
ONE PIECE,one-piece-dfe77,netflix,2023,TV-14,2,16,1361,5,16
Open Your Eyes,open-your-eyes-6a9a1,netflix,2021,TV-MA,1,6,191,5,6
Orange Is the New Black,orange-is-the-new-black-117e1,netflix,2013,TV-MA,7,91,14568,5,91
Orphan Black,orphan-black-88d03,netflix,2013,TV-MA,5,50,3959,5,50
Orphan Black: Echoes,orphan-black-echoes-b7038,netflix,2024,TV-MA,1,10,392,5,10
Outer Banks,outer-banks-4aa3a,netflix,2020,TV-MA,4,40,4564,5,40
Outer Range,outer-range-8967e,amazon-prime,2022,TV-MA,2,15,843,5,15
Outlander,outlander-2ab7f,netflix,2014,TV-MA,8,101,6620,5,101
Outlander: Blood of My Blood,outlander-blood-of-my-blood-7e463,amazon-channels-starz,2025,TV-MA,1,10,721,5,10
Outlast,outlast-19499,netflix,2023,TV-14,2,16,880,5,16
Over Christmas,over-christmas-5851c,netflix,2020,TV-MA,1,3,141,4,3
Owlegories,owlegories-ac220,vidangel,2014,NR,1,17,34,0,17
Ozark,ozark-47c4a,netflix,2017,TV-MA,4,44,4325,5,44
Pachinko,pachinko-ee0e8,appletv,2022,TV-MA,2,16,346,5,16
Pacific Rim: The Black,pacific-rim-the-black-5f135,netflix,2021,TV-14,1,7,192,5,7
Pact of Silence,pact-of-silence-20145,netflix,2023,TV-MA,1,18,1003,5,18
Painkiller,painkiller-b1df2,netflix,2023,TV-MA,1,6,686,5,6
Palm Royale,palm-royale-42067,appletv,2024,TV-MA,2,20,1798,5,20
Pandemic: How to Prevent an Outbreak,pandemic-how-to-prevent-an-outbreak-9c77d,netflix,2020,TV-14,1,6,129,5,6
Panic,panic-30de5,amazon-prime,2021,TV-MA,1,10,1051,5,10
Paper Girls,paper-girls-0a9ab,amazon-prime,2022,TV-MA,1,8,620,5,8
Paranormal,paranormal-983a9,netflix,2020,TV-14,1,6,209,5,6
Parasyte: The Grey,parasyte-the-grey-c7097,netflix,2024,TV-MA,1,6,494,4,6
Parks and Recreation,parks-and-recreation-e2981,peacock,2009,TV-14,7,123,4534,5,123
Partner Track,partner-track-7caa9,netflix,2022,TV-MA,1,10,659,5,10
Patriot,patriot-a1a91,amazon-prime,2015,TV-MA,2,18,894,5,18
Peaky Blinders,peaky-blinders-fbc49,netflix,2013,TV-MA,6,36,3410,5,36
Penelope,penelope-71903,netflix,2024,TV-MA,1,8,139,5,8
Penny Dreadful,penny-dreadful-b168c,amazon-prime,2014,TV-MA,3,27,2110,5,27
"Pepsi, Where's My Jet?",pepsi-wheres-my-jet-41fe8,netflix,2022,TV-MA,1,4,109,4,4
Perfect Match,perfect-match-45597,netflix,2024,TV-MA,2,20,6336,4,20
Pervert: Hunting the Strip Search Caller,pervert-hunting-the-strip-search-caller-4b5c1,netflix,2022,TV-MA,1,3,169,3,3
Physical,physical-9f4a8,appletv,2021,TV-MA,3,30,1803,5,30
PIECES OF HER,pieces-of-her-6ecc2,netflix,2022,TV-MA,1,8,356,5,8
Pine Gap,pine-gap-262b5,netflix,2018,TV-MA,1,6,310,5,6
Platonic,platonic-9d8b0,appletv,2023,TV-MA,2,20,1908,5,20
Pluribus,pluribus-75e6f,appletv,2025,TV-MA,1,9,389,5,9
Poker Face,poker-face-c7f29,peacock,2023,TV-MA,2,22,2326,5,22
Poldark,poldark-533db,netflix,2015,TV-14,5,43,2267,5,43
PONIES,ponies-e6a14,peacock,2026,TV-MA,1,8,706,5,8
Post Mortem: No One Dies in Skarnes,post-mortem-no-one-dies-in-skarnes-5fa5c,netflix,2021,TV-MA,1,6,338,5,6
Prank Encounters,prank-encounters-167e8,netflix,2019,TV-MA,2,15,462,3,15
Prehistoric Planet,prehistoric-planet-36c31,appletv,2022,TV-PG,2,10,273,4,10
Pride and Prejudice,pride-and-prejudice-aabf4,amazon-channels-britbox,1995,TV-14,1,6,235,4,6
Prime Target,prime-target-86e57,appletv,2025,TV-14,1,8,248,5,8
Professor T,professor-t-2fe22,amazon-channels-pbs,2021,TV-MA,4,24,811,5,24
Psych,psych-dcae4,amazon-prime,2006,TV-PG,8,120,8040,5,120
PULSE,pulse-5840f,netflix,2025,TV-MA,1,10,748,5,10
Quarterback,quarterback-73254,netflix,2023,TV-MA,2,15,758,4,15
Queen Charlotte: A Bridgerton Story,queen-charlotte-a-bridgerton-story-aa305,netflix,2023,TV-MA,1,6,416,4,6
Rabbit Hole,rabbit-hole-b34e6,paramount,2023,TV-MA,1,8,714,5,8
Ragnarok,ragnarok-a433e,netflix,2020,TV-MA,3,18,895,5,18
Raising Dion,raising-dion-0d3e0,netflix,2019,TV-PG,2,17,563,5,17
Ransom Canyon,ransom-canyon-ce0d8,netflix,2025,TV-MA,1,10,882,5,10
Ray Donovan,ray-donovan-e293b,paramount,2013,TV-MA,7,82,11567,5,82
Reacher,reacher-6e7d4,amazon-prime,2022,TV-MA,3,24,2099,5,24
Reality Check: Inside America's Next Top Model,reality-check-inside-americas-next-top-model-18a28,netflix,2026,TV-MA,1,3,572,4,3
Receiver,receiver-2bb45,netflix,2024,TV-MA,1,8,776,4,8
Red Oaks,red-oaks-5d811,amazon-prime,2014,TV-MA,3,26,1548,5,26
Red Queen,red-queen-1aa1b,amazon-prime,2024,TV-MA,1,7,500,5,7
Red Rose,red-rose-613d6,netflix,2022,TV-MA,1,8,639,5,8
Resident Alien,resident-alien-66f15,netflix,2021,TV-14,4,44,3372,5,44
Resident Evil,resident-evil-35185,netflix,2022,TV-MA,1,8,716,5,8
RESIDENT EVIL: Infinite Darkness,resident-evil-infinite-darkness-863a7,netflix,2021,TV-MA,1,4,232,3,4
Reunion,reunion-ec8cf,paramount,2025,TV-MA,1,5,158,5,5
Rev.,rev-550e8,amazon-channels-britbox,2010,TV-14,1,6,389,5,6
Riches,riches-322c9,amazon-prime,2022,TV-14,1,6,352,5,6
RIPLEY,ripley-72903,netflix,2024,TV-MA,1,8,235,4,8
Ripple,ripple-4d95c,netflix,2025,TV-PG,1,8,275,5,8
Rise of Empires: Ottoman,rise-of-empires-ottoman-b0ab3,netflix,2020,TV-MA,2,12,517,4,12
Rita,rita-d2f2a,netflix,2012,TV-MA,3,23,982,5,23
Roadkill,roadkill-38f02,amazon-channels-pbs,2020,TV-14,1,4,223,5,4
Roar,roar-4ccf9,appletv,2022,TV-MA,1,8,482,5,8
Robin Hood,robin-hood-ca9b2,amazon-channels-mgm,2025,TV-MA,1,10,1017,4,10
Rough Diamonds,rough-diamonds-370bc,netflix,2023,TV-MA,1,8,159,4,8
Run Away,run-away-d0eb8,netflix,2026,TV-MA,1,8,377,5,8
Russian Doll,russian-doll-b26bf,netflix,2019,TV-MA,2,15,1087,5,15
Rutherford Falls,rutherford-falls-bbd7e,peacock,2021,TV-14,1,10,315,5,10
S.W.A.T.,swat-d1960,netflix,2017,TV-14,8,163,7536,5,163
Sacred Games,sacred-games-ba993,netflix,2018,TV-MA,2,16,1617,5,16
Safe,safe-e5410,netflix,2018,TV-MA,1,8,466,5,8
Salvation,salvation-6d05c,amazon,2017,TV-14,2,25,901,5,25
Sanditon,sanditon-b5727,amazon-channels-pbs,2019,TV-14,3,20,748,5,20
Sandokan,sandokan-97d52,netflix,2025,TV-MA,1,8,502,5,8
Santa Clarita Diet,santa-clarita-diet-fab82,netflix,2017,TV-MA,3,30,2128,5,30
SAS Rogue Heroes,sas-rogue-heroes-0496e,amazon-channels-mgm,2022,TV-MA,2,12,1310,5,12
Scarpetta,scarpetta-7988e,amazon-prime,2026,TV-MA,1,8,1049,5,8
Schitt's Creek,schitts-creek-b4586,amazon,2015,TV-MA,6,80,1551,5,80
Schmigadoon!,schmigadoon-095b3,appletv,2021,TV-14,2,12,644,5,12
School Spirits,school-spirits-26210,paramount,2023,TV-MA,3,24,1151,5,24
Scorpion,scorpion-e7950,paramount,2014,TV-14,4,92,3181,5,92
Scott Pilgrim Takes Off,scott-pilgrim-takes-off-3b8f8,netflix,2023,TV-MA,1,8,255,5,8
SEAL Team,seal-team-39221,paramount,2017,TV-14,7,114,5930,5,114
SEC Football: Any Given Saturday,sec-football-any-given-saturday-8227f,netflix,2025,TV-MA,1,7,297,3,7
Secret Level,secret-level-ce067,amazon-prime,2024,TV-14,1,15,380,4,15
Secrets We Keep,secrets-we-keep-b3e43,netflix,2025,TV-MA,1,6,300,4,6
See,see-016ac,appletv,2019,TV-MA,3,24,1421,5,24
Selling Sunset,selling-sunset-11bdc,netflix,2019,TV-MA,8,79,9800,5,79
Selling the OC,selling-the-oc-ac8b2,netflix,2022,TV-MA,3,24,3117,4,24
Senna,senna-ec047,netflix,2024,TV-MA,1,6,225,4,6
Sense8,sense8-02f7f,netflix,2015,TV-MA,2,24,2919,5,24
Servant,servant-98b86,appletv,2019,TV-MA,4,40,1439,5,40
Severance,severance-f7aab,appletv,2022,TV-MA,2,19,935,5,19
Shadow and Bone,shadow-and-bone-72cfa,netflix,2021,TV-14,2,16,844,5,16
Shadowplay,shadowplay-628bb,netflix,2020,TV-MA,1,8,491,5,8
Shantaram,shantaram-cc98a,appletv,2022,TV-MA,1,12,1011,5,12
Sheriff Country,sheriff-country-ed74a,paramount,2025,TV-14,1,20,1137,5,20
Sherlock,sherlock-2b4f9,amazon-channels-amc,2010,TV-14,4,12,873,5,12
Sherwood,sherwood-b4e3f,amazon-channels-britbox,2022,TV-MA,2,12,808,5,12
Shetland,shetland-845f9,amazon-channels-britbox,2013,TV-14,10,56,2314,5,56
Shining Girls,shining-girls-e5782,appletv,2022,TV-MA,1,8,372,5,8
Shiny Happy People,shiny-happy-people-dc663,amazon-prime,2023,TV-MA,2,7,252,5,7
Shooter,shooter-b4900,amazon-prime,2016,TV-MA,1,10,660,4,10
Should I Marry a Murderer?,should-i-marry-a-murderer-52b7f,netflix,2026,TV-MA,1,3,158,5,3
Side Quest,side-quest-3e1fd,appletv,2025,TV-MA,1,4,444,5,4
Silk,silk-5c262,amazon-prime,2011,TV-14,3,18,925,5,18
Silo,silo-55c68,appletv,2023,TV-MA,2,20,860,4,20
Simone Biles Rising,simone-biles-rising-d7be7,netflix,2024,TV-14,1,4,164,4,4
Sins of Our Mother,sins-of-our-mother-de3d6,netflix,2022,TV-14,1,3,43,4,3
Sirens,sirens-c5733,netflix,2025,TV-MA,1,5,538,5,5
Sky High: The Series,sky-high-the-series-32c9d,netflix,2023,TV-MA,1,7,590,5,7
SkyMed,skymed-63bd2,paramount,2022,TV-14,3,27,1858,5,27
Sleeping Dog,sleeping-dog-5ba23,netflix,2023,TV-MA,1,6,365,5,6
Slow Horses,slow-horses-7fa43,appletv,2022,TV-MA,5,30,2781,5,30
Smoke,smoke-c6a6f,appletv,2025,TV-MA,1,9,1101,5,9
Snabba Cash,snabba-cash-89161,netflix,2021,TV-MA,1,6,813,5,6
Sneaky Pete,sneaky-pete-0a281,netflix,2015,TV-MA,3,30,2414,5,30
Snowflake Mountain,snowflake-mountain-7687a,netflix,2022,TV-MA,1,8,1040,4,8
So Help Me Todd,so-help-me-todd-458fc,amazon,2022,TV-14,2,31,956,5,31
Solos,solos-a53d4,amazon-prime,2021,TV-MA,1,7,203,5,7
Someone Has to Die,someone-has-to-die-44a1b,netflix,2020,TV-MA,1,3,146,4,3
Something Very Bad Is Going to Happen,something-very-bad-is-going-to-happen-72a08,netflix,2026,TV-MA,1,8,879,5,8
Sophie: A Murder in West Cork,sophie-a-murder-in-west-cork-64ea6,netflix,2021,TV-14,1,3,111,5,3
South Park,south-park-a9fea,amazon-channels-paramount,1997,TV-MA,1,13,1331,5,13
Space Force,space-force-48dd1,netflix,2020,TV-MA,2,17,804,5,17
Spartacus,spartacus-07dc9,netflix,2010,TV-MA,4,39,8625,5,39
Spartacus: House of Ashur,spartacus-house-of-ashur-d7c68,amazon-channels-starz,2025,TV-MA,1,2,697,4,2
Spinning Out,spinning-out-3b7b0,netflix,2020,TV-MA,1,10,690,5,10
Splinter Cell: Deathwatch,splinter-cell-deathwatch-c6404,netflix,2025,TV-MA,1,8,376,4,8
Spooks,spooks-71f93,amazon-prime,2002,TV-14,1,6,362,5,6
SPRINT,sprint-2fba0,netflix,2024,TV-MA,2,10,425,4,10
Sprung,sprung-fc559,amazon-prime,2022,TV-MA,1,9,1095,5,9
Squid Game,squid-game-187ba,netflix,2021,TV-MA,3,22,2138,5,22
Squid Game: The Challenge,squid-game-the-challenge-45754,netflix,2023,TV-14,2,19,977,5,19
St. Denis Medical,st-denis-medical-4b19b,netflix,2024,TV-14,2,36,1102,5,36
Star Trek: Deep Space Nine,star-trek-deep-space-nine-4d85b,amazon-channels-paramount,1993,TV-PG,6,148,3138,5,148
Star Trek: Discovery,star-trek-discovery-ee99c,paramount,2017,TV-MA,5,65,1886,5,65
Star Trek: Lower Decks,star-trek-lower-decks-890b0,amazon-channels-paramount,2020,TV-14,2,20,972,5,20
Star Trek: Picard,star-trek-picard-7f959,paramount,2020,TV-14,3,30,1409,5,30
Star Trek: Starfleet Academy,star-trek-starfleet-academy-18564,paramount,2026,TV-14,1,10,499,5,10
Star Trek: Strange New Worlds,star-trek-strange-new-worlds-b0896,paramount,2022,TV-PG,3,30,1427,5,30
Star Trek: The Next Generation,star-trek-the-next-generation-2fd3b,amazon-channels-paramount,1987,TV-PG,1,25,883,5,25
