show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
Elementary,elementary-50d08,amazon-prime,2012,TV-14,6,140,4049,5,140
Elite,elite-1dfaa,netflix,2018,TV-MA,8,64,9502,5,64
Elsbeth,elsbeth-a1b7e,paramount,2024,TV-14,3,49,1494,5,49
Emergency: NYC,emergency-nyc-35402,netflix,2023,TV-MA,1,8,369,4,8
Emily in Paris,emily-in-paris-baedd,netflix,2020,TV-MA,5,50,2893,5,50
Endeavour,endeavour-f3e70,amazon-prime,2013,TV-14,9,35,3001,5,35
Episodes,episodes-05364,amazon,2011,TV-MA,2,16,1302,5,16
Eric,eric-3b2fe,netflix,2024,TV-MA,1,6,628,5,6
Escaping Twin Flames,escaping-twin-flames-52bf8,netflix,2023,TV-MA,1,3,162,4,3
Eureka,eureka-0ce08,amazon,2006,TV-14,5,77,2667,5,77
Everybody Loves Diamonds,everybody-loves-diamonds-f6b02,amazon-prime,2023,TV-MA,1,8,751,4,8
Everything Now,everything-now-84ffc,netflix,2023,TV-MA,1,8,982,5,8
Everything Sucks!,everything-sucks-2d42a,netflix,2018,TV-14,1,10,470,5,10
Evil,evil-c51d6,paramount,2019,TV-14,4,50,2899,5,50
Evil Genius,evil-genius-3db31,netflix,2018,TV-MA,1,4,181,4,4
Expats,expats-a2ad6,amazon-prime,2024,TV-MA,1,6,290,5,6
Extrapolations,extrapolations-7f9a7,appletv,2023,TV-MA,1,8,372,4,8
F is for Family,f-is-for-family-26dfe,netflix,2015,TV-MA,4,36,4778,5,36
Falling Water,falling-water-dbecd,amazon,2016,TV-14,2,20,990,5,20
Fallout,fallout-67415,amazon-prime,2024,TV-MA,2,16,1529,5,16
Fatal Attraction,fatal-attraction-56a47,amazon,2023,TV-MA,1,8,678,4,8
Fate: The Winx Saga,fate-the-winx-saga-96da9,netflix,2021,TV-MA,2,13,996,5,13
Fauda,fauda-af40b,netflix,2015,TV-MA,4,48,1744,5,48
FBI,fbi-708c9,amazon-channels-paramount,2018,TV-14,1,22,800,5,22
Fear City: New York vs The Mafia,fear-city-new-york-vs-the-mafia-f7b93,netflix,2020,TV-MA,1,3,150,4,3
Fear the Walking Dead,fear-the-walking-dead-aca98,netflix,2015,TV-MA,8,113,6631,5,113
Fellow Travelers,fellow-travelers-da5c6,amazon-channels-paramount,2023,TV-MA,1,8,678,5,8
Feria: The Darkest Light,feria-the-darkest-light-8fbd0,netflix,2022,TV-MA,1,8,607,5,8
Ferry: The Series,ferry-the-series-0cc7f,netflix,2023,TV-MA,1,8,753,5,8
Fight Night: The Million Dollar Heist,fight-night-the-million-dollar-heist-02a08,peacock,2024,TV-MA,1,8,2055,5,8
Finding Her Edge,finding-her-edge-d1372,netflix,2026,TV-PG,1,8,540,5,8
Fire Country,fire-country-08da9,netflix,2022,TV-14,4,72,3267,5,72
Firefly Lane,firefly-lane-039b9,netflix,2021,TV-MA,2,26,2659,5,26
First Wives Club,first-wives-club-bcbde,netflix,2019,TV-MA,3,29,2854,5,29
Fisk,fisk-f792e,netflix,2021,TV-MA,3,18,509,4,18
Flack,flack-e80d6,amazon-prime,2019,TV-MA,2,12,1593,5,12
Fleabag,fleabag-f5acd,amazon-prime,2016,TV-MA,2,12,1034,5,12
Flesh and Blood,flesh-and-blood-a7467,amazon-channels-pbs,2020,TV-14,1,4,236,5,4
Flint Town,flint-town-c1243,netflix,2018,TV-MA,1,8,348,4,8
Florida Man,florida-man-8cf00,netflix,2023,TV-MA,1,7,638,5,7
Fool Me Once,fool-me-once-56f4a,netflix,2024,TV-MA,1,8,378,5,8
For All Mankind,for-all-mankind-1ac5d,appletv,2019,TV-MA,5,49,2836,5,49
Forever,forever-05d06,amazon-prime,2018,TV-14,1,8,371,5,8
FOREVER,forever-4dc97,netflix,2025,TV-MA,1,8,964,5,8
Formula 1: Drive to Survive,formula-1-drive-to-survive-1d67d,netflix,2019,TV-MA,8,78,3711,5,78
Foundation,foundation-fd93f,appletv,2021,TV-MA,3,30,1798,5,30
Frank of Ireland,frank-of-ireland-d4b9c,amazon-prime,2021,TV-MA,1,6,448,4,6
Franklin,franklin-40b15,appletv,2024,TV-MA,1,8,544,5,8
Frasier,frasier-120ce,amazon-prime,1993,TV-PG,1,24,994,5,24
Frasier,frasier-49e39,amazon-channels-paramount,2023,TV-14,2,20,738,5,20
Free Bert,free-bert-e254a,netflix,2026,TV-MA,1,6,726,5,6
Freeridge,freeridge-eaf5b,netflix,2023,TV-14,1,8,492,5,8
Friday Night Lights,friday-night-lights-5caf1,amazon-prime,2006,TV-14,5,76,5106,5,76
Friends from College,friends-from-college-26de0,netflix,2017,TV-MA,2,16,1080,5,16
FROM,from-20073,amazon-channels-mgm,2022,TV-MA,4,35,3385,5,35
From Scratch,from-scratch-fa353,netflix,2022,TV-MA,1,8,247,4,8
Frontier,frontier-fcd8c,netflix,2016,TV-MA,3,18,1565,4,18
FUBAR,fubar-78e4f,netflix,2023,TV-MA,2,16,1442,5,16
Full Speed,full-speed-179aa,netflix,2024,TV-MA,2,10,503,4,10
Full Swing,full-swing-c731a,netflix,2023,TV-MA,4,27,762,4,27
Funny AF with Kevin Hart,funny-af-with-kevin-hart-27f77,netflix,2026,TV-MA,1,8,2029,4,8
Furies,furies-92cdf,netflix,2024,TV-MA,1,8,667,5,8
Ganglands,ganglands-da45a,netflix,2021,TV-MA,1,6,435,5,6
Gangs of London,gangs-of-london-ddea5,amazon-channels-amc,2020,TV-MA,1,10,1174,5,10
Gaslit,gaslit-09951,amazon,2022,TV-MA,1,8,802,5,8
Geek Girl,geek-girl-7bacb,netflix,2024,TV-PG,1,10,224,5,10
Gen V,gen-v-c3230,amazon-prime,2023,TV-MA,2,16,2891,5,16
Gentefied,gentefied-57861,netflix,2020,TV-MA,2,18,1355,5,18
Get Gotti,get-gotti-4ab87,netflix,2023,TV-MA,1,3,236,5,3
Get Shorty,get-shorty-ce07b,amazon-prime,2017,TV-MA,1,10,1068,5,10
Ghosts,ghosts-71a43,paramount,2021,TV-14,5,94,3420,5,94
Ghosts of Beirut,ghosts-of-beirut-56ec2,amazon-channels-paramount,2023,TV-MA,1,4,171,4,4
