plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
local://23389,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E47 - Resolve x And x Awakening.mkv,episode,Hunter x Hunter – Season 2 – Episode 47,skipped,media directory does not exist,,,,0
local://23390,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E48 - Knov x And x Morel.mkv,episode,Hunter x Hunter – Season 2 – Episode 48,skipped,media directory does not exist,,,,0
local://23391,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E49 - Return x And x Retire.mkv,episode,Hunter x Hunter – Season 2 – Episode 49,skipped,media directory does not exist,,,,0
local://23392,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E50 - Gungi x Of x Komugi.mkv,episode,Hunter x Hunter – Season 2 – Episode 50,skipped,media directory does not exist,,,,0
local://23393,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E51 - Taking Stock x And x Taking Action.mkv,episode,Hunter x Hunter – Season 2 – Episode 51,skipped,media directory does not exist,,,,0
local://23394,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E52 - Confusion x And x Expectation.mkv,episode,Hunter x Hunter – Season 2 – Episode 52,skipped,media directory does not exist,,,,0
local://23395,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E53 - Charge x And x Invade.mkv,episode,Hunter x Hunter – Season 2 – Episode 53,skipped,media directory does not exist,,,,0
local://23396,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E54 - Monster x And x Monster.mkv,episode,Hunter x Hunter – Season 2 – Episode 54,skipped,media directory does not exist,,,,0
local://23397,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E55 - An x Indebted x Insect.mkv,episode,Hunter x Hunter – Season 2 – Episode 55,skipped,media directory does not exist,,,,0
local://23398,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E56 - Divide x And x Conquer.mkv,episode,Hunter x Hunter – Season 2 – Episode 56,skipped,media directory does not exist,,,,0
local://23399,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E57 - Duty x and x Question.mkv,episode,Hunter x Hunter – Season 2 – Episode 57,skipped,media directory does not exist,,,,0
local://23400,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E58 - Revenge x And x Recovery.mkv,episode,Hunter x Hunter – Season 2 – Episode 58,skipped,media directory does not exist,,,,0
local://23401,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E59 - Insult x And x Payback.mkv,episode,Hunter x Hunter – Season 2 – Episode 59,skipped,media directory does not exist,,,,0
local://23403,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E60 - A x False x Rage.mkv,episode,Hunter x Hunter – Season 2 – Episode 60,skipped,media directory does not exist,,,,0
local://23404,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E61 - Strong x Or x Weak.mkv,episode,Hunter x Hunter – Season 2 – Episode 61,skipped,media directory does not exist,,,,0
local://23405,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E62 - Fake x And x Real.mkv,episode,Hunter x Hunter – Season 2 – Episode 62,skipped,media directory does not exist,,,,0
imdb://tt3055164,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E63 - Defeat x And x Dignity.mkv,episode,Hunter x Hunter – Season 2 – A x Hard x Master?,skipped,media directory does not exist,,,,0
imdb://tt3055166,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E64 - Pose x And x Name.mkv,episode,Hunter x Hunter – Season 2 – Strengthen x And x Threaten,skipped,media directory does not exist,,,,0
imdb://tt3055170,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E65 - Centipede x And x Memory.mkv,episode,"Hunter x Hunter – Season 2 – Evil Fist x And x Rock, Paper, Scissors",skipped,media directory does not exist,,,,0
local://23352,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E10 - Pirates x And x Guesses.mkv,episode,Hunter x Hunter – Season 2 – Episode 10,skipped,media directory does not exist,,,,0
local://23353,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E11 - A x Heated x Showdown.mkv,episode,Hunter x Hunter – Season 2 – Episode 11,skipped,media directory does not exist,,,,0
local://23354,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E12 - Guts x And x Courage.mkv,episode,Hunter x Hunter – Season 2 – Episode 12,skipped,media directory does not exist,,,,0
local://23355,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E13 - Bargain x And x Deal.mkv,episode,Hunter x Hunter – Season 2 – Episode 13,skipped,media directory does not exist,,,,0
local://23356,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E14 - Chase x And x Chance.mkv,episode,Hunter x Hunter – Season 2 – Episode 14,skipped,media directory does not exist,,,,0
local://23357,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E15 - Insanity x And x Sanity.mkv,episode,Hunter x Hunter – Season 2 – Episode 15,skipped,media directory does not exist,,,,0
local://23358,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E16 - Victor x And x Loser.mkv,episode,Hunter x Hunter – Season 2 – Episode 16,skipped,media directory does not exist,,,,0
local://23359,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E17 - Ging's Friends x And x True Friends.mkv,episode,Hunter x Hunter – Season 2 – Episode 17,skipped,media directory does not exist,,,,0
local://23360,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E18 - Reunion x And x Understanding.mkv,episode,Hunter x Hunter – Season 2 – Episode 18,skipped,media directory does not exist,,,,0
local://23361,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E19 - Unease x And x Sighting.mkv,episode,Hunter x Hunter – Season 2 – Episode 19,skipped,media directory does not exist,,,,0
local://23362,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E20 - Very x Rapid x Reproduction.mkv,episode,Hunter x Hunter – Season 2 – Episode 20,skipped,media directory does not exist,,,,0
local://23363,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E21 - No x Good x NGL.mkv,episode,Hunter x Hunter – Season 2 – Episode 21,skipped,media directory does not exist,,,,0
local://23364,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E22 - Evil x And x Terrible.mkv,episode,Hunter x Hunter – Season 2 – Episode 22,skipped,media directory does not exist,,,,0
local://23365,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E23 - The x Fight x Begins.mkv,episode,Hunter x Hunter – Season 2 – Episode 23,skipped,media directory does not exist,,,,0
local://23366,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E24 - Kite x And x Slots.mkv,episode,Hunter x Hunter – Season 2 – Episode 24,skipped,media directory does not exist,,,,0
local://23367,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E25 - Inspiration x To x Evolve.mkv,episode,Hunter x Hunter – Season 2 – Episode 25,skipped,media directory does not exist,,,,0
local://23368,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E26 - A x Fated x Awakening.mkv,episode,Hunter x Hunter – Season 2 – Episode 26,skipped,media directory does not exist,,,,0
local://23369,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E27 - Light x And x Dark.mkv,episode,Hunter x Hunter – Season 2 – Episode 27,skipped,media directory does not exist,,,,0
local://23370,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E28 - Promise x And x Reunion.mkv,episode,Hunter x Hunter – Season 2 – Episode 28,skipped,media directory does not exist,,,,0
local://23371,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E29 - Duel x And x Escape.mkv,episode,Hunter x Hunter – Season 2 – Episode 29,skipped,media directory does not exist,,,,0
local://23372,"F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E30 - Rock, Paper, Scissors x And x Weakness.mkv",episode,Hunter x Hunter – Season 2 – Episode 30,skipped,media directory does not exist,,,,0
local://23373,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E31 - Compassion x And x Strength.mkv,episode,Hunter x Hunter – Season 2 – Episode 31,skipped,media directory does not exist,,,,0
local://23374,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E32 - Interest x And x Curse.mkv,episode,Hunter x Hunter – Season 2 – Episode 32,skipped,media directory does not exist,,,,0
local://23375,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E33 - The Strong x And x The Weak.mkv,episode,Hunter x Hunter – Season 2 – Episode 33,skipped,media directory does not exist,,,,0
local://23376,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E34 - One Wish x And x Two Promises.mkv,episode,Hunter x Hunter – Season 2 – Episode 34,skipped,media directory does not exist,,,,0
local://23377,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E35 - Date x With x Palm.mkv,episode,Hunter x Hunter – Season 2 – Episode 35,skipped,media directory does not exist,,,,0
local://23378,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E36 - Friend x And x Journey.mkv,episode,Hunter x Hunter – Season 2 – Episode 36,skipped,media directory does not exist,,,,0
local://23379,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E37 - Grudge x And x Dread.mkv,episode,Hunter x Hunter – Season 2 – Episode 37,skipped,media directory does not exist,,,,0
local://23380,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E38 - A x Lawless x Home.mkv,episode,Hunter x Hunter – Season 2 – Episode 38,skipped,media directory does not exist,,,,0
imdb://tt3055146,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E56 - Beloved x And x Beleaguered.mkv,episode,Hunter x Hunter – Season 1 – Beloved x And x Beleaguered,skipped,media directory does not exist,,,,0
imdb://tt3055150,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E57 - Initiative x And x Law.mkv,episode,Hunter x Hunter – Season 1 – Initiative x And x Law,skipped,media directory does not exist,,,,0
imdb://tt3055152,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E58 - Signal x To x Retreat.mkv,episode,Hunter x Hunter – Season 1 – Signal x To x Retreat,skipped,media directory does not exist,,,,0
local://23343,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E01 - Bid x And x Haste.mkv,episode,Hunter x Hunter – Season 2 – Episode 1,skipped,media directory does not exist,,,,0
local://23344,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E02 - End x And x Beginning.mkv,episode,Hunter x Hunter – Season 2 – Episode 2,skipped,media directory does not exist,,,,0
local://23345,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E03 - Invitation x And x Friend.mkv,episode,Hunter x Hunter – Season 2 – Episode 3,skipped,media directory does not exist,,,,0
local://23346,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E04 - Reality x And x Raw.mkv,episode,Hunter x Hunter – Season 2 – Episode 4,skipped,media directory does not exist,,,,0
local://23347,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E05 - A x Hard x Master.mkv,episode,Hunter x Hunter – Season 2 – Episode 5,skipped,media directory does not exist,,,,0
local://23348,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E06 - Strengthen x And x Threaten.mkv,episode,Hunter x Hunter – Season 2 – Episode 6,skipped,media directory does not exist,,,,0
local://23349,"F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E07 - Evil Fist x And x Rock, Paper, Scissors.mkv",episode,Hunter x Hunter – Season 2 – Episode 7,skipped,media directory does not exist,,,,0
local://23350,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E08 - Strategy x And x Scheme.mkv,episode,Hunter x Hunter – Season 2 – Episode 8,skipped,media directory does not exist,,,,0
local://23351,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E09 - 15 x 15.mkv,episode,Hunter x Hunter – Season 2 – Episode 9,skipped,media directory does not exist,,,,0
imdb://tt2506424,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E27 - Arrival x At x The Arena.mkv,episode,Hunter x Hunter – Season 1 – Arrival x At The x Arena!,skipped,media directory does not exist,,,,0
imdb://tt2506428,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E28 - Nen x and x Nen.mkv,episode,"Hunter x Hunter – Season 1 – Nen x And x ""Nen""",skipped,media directory does not exist,,,,0
imdb://tt2506430,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E29 - Awakening x And x Potential.mkv,episode,Hunter x Hunter – Season 1 – Awakening x And x Potential!,skipped,media directory does not exist,,,,0
imdb://tt2506432,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E30 - Fierce x and x Ferocious.mkv,episode,Hunter x Hunter – Season 1 – Fierce x and x Ferocious,skipped,media directory does not exist,,,,0
imdb://tt2677550,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E31 - Destiny x and x Tenacity.mkv,episode,Hunter x Hunter – Season 1 – Destiny x and x Tenacity!,skipped,media directory does not exist,,,,0
imdb://tt2677554,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E32 - A x Surprising x Win.mkv,episode,Hunter x Hunter – Season 1 – A x Surprising x Win,skipped,media directory does not exist,,,,0
imdb://tt2677558,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E33 - An x Empty x Threat.mkv,episode,Hunter x Hunter – Season 1 – An x Empty x Threat!,skipped,media directory does not exist,,,,0
imdb://tt2677562,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E34 - Power x To x Avenge.mkv,episode,Hunter x Hunter – Season 1 – Power x To x Avenge!,skipped,media directory does not exist,,,,0
imdb://tt2677566,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E35 - The x True x Pass.mkv,episode,Hunter x Hunter – Season 1 – The x True x Pass,skipped,media directory does not exist,,,,0
imdb://tt2677570,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E36 - A Big Debt x And x A Small Kick.mkv,episode,Hunter x Hunter – Season 1 – A Big Debt x And x A Small Kick!,skipped,media directory does not exist,,,,0
imdb://tt2856262,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E37 - Ging x And x Gon.mkv,episode,Hunter x Hunter – Season 1 – Ging x And x Gon!,skipped,media directory does not exist,,,,0
imdb://tt2856270,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E38 - Reply x From x Dad.mkv,episode,Hunter x Hunter – Season 1 – Reply x From x Dad!,skipped,media directory does not exist,,,,0
imdb://tt3068244,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E39 - Wish x And x Promise.mkv,episode,Hunter x Hunter – Season 1 – Wish x And x Promise!,skipped,media directory does not exist,,,,0
imdb://tt3068264,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E40 - Nen x Users x Unite.mkv,episode,Hunter x Hunter – Season 1 – Nen x Users x Unite?,skipped,media directory does not exist,,,,0
imdb://tt3068248,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E41 - Gathering x Of x Heroes.mkv,episode,Hunter x Hunter – Season 1 – Gathering x Of x Heroes!,skipped,media directory does not exist,,,,0
imdb://tt3068236,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E42 - Defend x and x Attack.mkv,episode,Hunter x Hunter – Season 1 – Defend x and x Attack!,skipped,media directory does not exist,,,,0
imdb://tt3068282,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E43 - A x Shocking x Tragedy.mkv,episode,Hunter x Hunter – Season 1 – A x Shocking x Tragedy!,skipped,media directory does not exist,,,,0
imdb://tt3344590,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E44 - Buildup x To A x Fierce Battle.mkv,episode,Hunter x Hunter – Season 1 – Buildup x To A x Fierce Battle,skipped,media directory does not exist,,,,0
imdb://tt3344592,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E45 - Restraint x And x Vow.mkv,episode,Hunter x Hunter – Season 1 – Restraint x And x Vow,skipped,media directory does not exist,,,,0
imdb://tt3344598,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E46 - Chasing x and x Waiting.mkv,episode,Hunter x Hunter – Season 1 – Chasing x and x Waiting,skipped,media directory does not exist,,,,0
imdb://tt2414266,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 01\Hunter x Hunter (2011) - S01E47 - Condition x and x Condition.mkv,episode,Hunter x Hunter – Season 1 – Condition x and x Condition,skipped,media directory does not exist,,,,0
