category_id,key,display_title,path_keys,path_titles,default_type,mapped_category,example_description
151,nudity_statues_and_paintings,Nude Statues & Paintings,sex_nudity_immodesty/nudity_statues_and_paintings,Nudity & Immodesty > Nude Statues & Paintings,audiovisual,nudity,A painting shows a woman's breasts.
130,nuts,n*ts,language/language_sexual/nuts,Language > Sexual Reference > n*ts,audio,sexual_content,
26,objectionable,"Objectionable, Disturbing, or Scary",violence_blood_gore/objectionable,"Violence > Objectionable, Disturbing, or Scary",audiovisual,violence,Two women discuss an animal's feces.
33,opening_credits,Opening Credits,credits/opening_credits,Credits & Extras > Opening Credits,audiovisual,,
131,orgasm,*rg*sm,language/language_sexual/orgasm,Language > Sexual Reference > *rg*sm,audio,sexual_content,
83,other_blasphemy,other,language/blasphemy/other_blasphemy,Language > Blasphemy > other,audio,profanity,h*ll
77,other_caption,other,language/profanity_captions/other_caption,Language > Captions with Profanity > other,audiovisual,profanity,d*ck
89,other_childish,other,language/language_childish/other_childish,Language > Childish Language > other,audio,profanity,A man talks about another man's foreskin.
64,other_profanity,other,language/profanity/other_profanity,Language > Profanity > other,audio,profanity,scr*w w*th
101,other_racial,other,language/language_racial/other_racial,Language > Racial & Bigoted Slurs > other,audio,profanity,l*m*y
150,other_sexual,other,language/language_sexual/other_sexual,Language > Sexual Reference > other,audio,sexual_content,A man makes a reference to sex.
35,outtakes,Episode Recap/Outtakes,credits/outtakes,Credits & Extras > Episode Recap/Outtakes,audiovisual,,Previous Episode
132,pecker,p*cker,language/language_sexual/pecker,Language > Sexual Reference > p*cker,audio,sexual_content,
133,penis,p*n*s,language/language_sexual/penis,Language > Sexual Reference > p*n*s,audio,sexual_content,
98,pollock,p*ll*ck,language/language_racial/pollock,Language > Racial & Bigoted Slurs > p*ll*ck,audio,profanity,
134,porn,p*rn,language/language_sexual/porn,Language > Sexual Reference > p*rn,audio,sexual_content,
135,prick,pr*ck,language/language_sexual/prick,Language > Sexual Reference > pr*ck,audio,sexual_content,
136,puss,p*ss,language/language_sexual/puss,Language > Sexual Reference > p*ss,audio,sexual_content,A teenage girl says if she reaches a certain number she will show her p*ss.
137,pussy,p*ssy,language/language_sexual/pussy,Language > Sexual Reference > p*ssy,audio,sexual_content,
138,queer,qu**r,language/language_sexual/queer,Language > Sexual Reference > qu**r,audio,sexual_content,
140,scrotum,scr*t*m,language/language_sexual/scrotum,Language > Sexual Reference > scr*t*m,audio,sexual_content,
142,sex,s*x,language/language_sexual/sex,Language > Sexual Reference > s*x,audio,sexual_content,A woman calls a book sex positive.
40,sexual_assault,Sexual Assault,sex_any/sexual_assault,Sex > Sexual Assault,audiovisual,sexual_content,A man uses a reference to sexual assault.
104,sexual_remark_m2m,A man makes a sexual remark to a man.,language/language_sexual/sexual_remark_m2m,Language > Sexual Reference > A man makes a sexual remark to a man.,audio,sexual_content,
105,sexual_remark_m2w,A man makes a sexual remark to a woman.,language/language_sexual/sexual_remark_m2w,Language > Sexual Reference > A man makes a sexual remark to a woman.,audio,sexual_content,
103,sexual_remark_w2m,A woman makes a sexual remark to a man.,language/language_sexual/sexual_remark_w2m,Language > Sexual Reference > A woman makes a sexual remark to a man.,audio,sexual_content,
102,sexual_remark_w2w,A woman makes a sexual remark to a woman.,language/language_sexual/sexual_remark_w2w,Language > Sexual Reference > A woman makes a sexual remark to a woman.,audio,sexual_content,
36,sexually_suggestive,Sexually Suggestive,sex_any/sexually_suggestive,Sex > Sexually Suggestive,audiovisual,sexual_content,A man caresses a woman's arm.
63,shit,sh*t,language/profanity/shit,Language > Profanity > sh*t,audio,profanity,Sh*t
76,shit_caption,sh*t,language/profanity_captions/shit_caption,Language > Captions with Profanity > sh*t,audiovisual,profanity,
39,shown_w_nudity,Sex with Nudity,sex_any/shown_w_nudity,Sex > Sex with Nudity,audiovisual,nudity,The side of a teeange girl's breast can be seen as she has sex with a teenage boy.
38,shown_w_o_nudity,Sex without Nudity,sex_any/shown_w_o_nudity,Sex > Sex without Nudity,audiovisual,nudity,A teenage boy and a teenage girl are shown as they have sex.
143,slut,sl*t,language/language_sexual/slut,Language > Sexual Reference > sl*t,audio,sexual_content,A woman uses a derogatory sexual term.
88,stupid,st*pid,language/language_childish/stupid,Language > Childish Language > st*pid,audio,profanity,
145,testicle,t*st*cl*,language/language_sexual/testicle,Language > Sexual Reference > t*st*cl*,audio,sexual_content,
144,tit,t*t,language/language_sexual/tit,Language > Sexual Reference > t*t,audio,sexual_content,
146,twat,tw*t,language/language_sexual/twat,Language > Sexual Reference > tw*t,audio,sexual_content,
147,vagina,v*gin*,language/language_sexual/vagina,Language > Sexual Reference > v*gin*,audio,sexual_content,
17,violence_images,Disturbing Images,violence_blood_gore/violence_images,Violence > Disturbing Images,audiovisual,violence,A dagger is seen protruding from a woman's shoulder.
25,vulgar_gestures,Vulgar Gestures,violence_blood_gore/vulgar_gestures,Violence > Vulgar Gestures,audiovisual,violence,A woman makes a vulgar gesture with both hands.
148,wank,w*nk,language/language_sexual/wank,Language > Sexual Reference > w*nk,audio,sexual_content,w*nkst**n
99,wetback,w*tback,language/language_racial/wetback,Language > Racial & Bigoted Slurs > w*tback,audio,profanity,
149,whore,wh*re,language/language_sexual/whore,Language > Sexual Reference > wh*re,audio,sexual_content,A woman says that a man sleeps with a prostitute.
100,wop,w*p,language/language_racial/wop,Language > Racial & Bigoted Slurs > w*p,audio,profanity,
