plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
local://25137,F:\MediaStack\data\media\movies\The Abyss (1989)\The Abyss (1989) [Bluray-1080P] {Imdb-Tt0096754}.Clean.mp4,movie,The Abyss,written,title-only movie match,700483,the-abyss-3f621,F:\MediaStack\data\media\movies\The Abyss (1989)\The Abyss (1989) [Bluray-1080P] {Imdb-Tt0096754}.Clean.leapfrog.json,322
imdb://tt2463208,F:\MediaStack\data\media\movies\The Adam Project (2022)\The Adam Project (2022) [WEBDL-1080p] {imdb-tt2463208}.mkv,movie,The Adam Project,written,title-only movie match,687871,the-adam-project,F:\MediaStack\data\media\movies\The Adam Project (2022)\The Adam Project (2022) [WEBDL-1080p] {imdb-tt2463208}.leapfrog.json,167
imdb://tt0101272,F:\MediaStack\data\media\movies\The Addams Family (1991)\The Addams Family (1991) [Bluray-1080p] {imdb-tt0101272}.mkv,movie,The Addams Family,written,title-only movie match,1553,the-addams-family,F:\MediaStack\data\media\movies\The Addams Family (1991)\The Addams Family (1991) [Bluray-1080p] {imdb-tt0101272}.leapfrog.json,72
imdb://tt0106220,F:\MediaStack\data\media\movies\Addams Family Values (1993)\Addams Family Values (1993) [Bluray-1080p] {imdb-tt0106220}.mp4,movie,Addams Family Values,written,title-only movie match,2291,addams-family-values,F:\MediaStack\data\media\movies\Addams Family Values (1993)\Addams Family Values (1993) [Bluray-1080p] {imdb-tt0106220}.leapfrog.json,185
imdb://tt1815862,F:\MediaStack\data\media\movies\After Earth (2013)\After Earth (2013) [WEBDL-1080p] {imdb-tt1815862}.mkv,movie,After Earth,written,title-only movie match,1286,after-earth,F:\MediaStack\data\media\movies\After Earth (2013)\After Earth (2013) [WEBDL-1080p] {imdb-tt1815862}.leapfrog.json,62
imdb://tt1655441,F:\MediaStack\data\media\movies\The Age of Adaline (2015)\The Age of Adaline (2015) [Bluray-1080p] {imdb-tt1655441}.mkv,movie,The Age of Adaline,written,title-only movie match,2012,the-age-of-adaline,F:\MediaStack\data\media\movies\The Age of Adaline (2015)\The Age of Adaline (2015) [Bluray-1080p] {imdb-tt1655441}.leapfrog.json,52
imdb://tt1413492,F:\MediaStack\data\media\movies\12 Strong (2018)\12 Strong (2018) [Bluray-1080p] {imdb-tt1413492}.mp4,movie,12 Strong,written,title-only movie match,223010,12-strong,F:\MediaStack\data\media\movies\12 Strong (2018)\12 Strong (2018) [Bluray-1080p] {imdb-tt1413492}.leapfrog.json,332
imdb://tt0337563,F:\MediaStack\data\media\movies\13 Going on 30 (2004)\13 Going on 30 (2004) [Bluray-1080p] {imdb-tt0337563}.mkv,movie,13 Going on 30,written,title-only movie match,2760,13-going-on-30,F:\MediaStack\data\media\movies\13 Going on 30 (2004)\13 Going on 30 (2004) [Bluray-1080p] {imdb-tt0337563}.leapfrog.json,220
imdb://tt0478087,F:\MediaStack\data\media\movies\21 (2008)\21 (2008) [Bluray-1080p] {imdb-tt0478087}.mp4,movie,21,written,title-only movie match,2373,21-2008,F:\MediaStack\data\media\movies\21 (2008)\21 (2008) [Bluray-1080p] {imdb-tt0478087}.leapfrog.json,177
imdb://tt1232829,F:\MediaStack\data\media\movies\21 Jump Street (2012)\21 Jump Street (2012) [Bluray-1080p] {imdb-tt1232829}.mkv,movie,21 Jump Street,written,title-only movie match,1768,21-jump-street-2012,F:\MediaStack\data\media\movies\21 Jump Street (2012)\21 Jump Street (2012) [Bluray-1080p] {imdb-tt1232829}.leapfrog.json,629
imdb://tt2294449,F:\MediaStack\data\media\movies\22 Jump Street (2014)\22 Jump Street (2014) [Bluray-1080p] {imdb-tt2294449}.mkv,movie,22 Jump Street,written,title-only movie match,1577,22-jump-street,F:\MediaStack\data\media\movies\22 Jump Street (2014)\22 Jump Street (2014) [Bluray-1080p] {imdb-tt2294449}.leapfrog.json,611
