plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt31695633,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E08 - This Is Frustrating.mkv,episode,Solo Leveling – Season 1 – This Is Frustrating,unmatched,missing episode match metadata,,,,0
imdb://tt30869514,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E09 - You've Been Hiding Your Skills.mkv,episode,Solo Leveling – Season 1 – You've Been Hiding Your Skills,unmatched,missing episode match metadata,,,,0
imdb://tt30869516,"F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E10 - What Is This, a Picnic.mkv",episode,"Solo Leveling – Season 1 – What Is This, a Picnic?",unmatched,missing episode match metadata,,,,0
imdb://tt30869517,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E11 - A Knight Who Defends an Empty Throne.mkv,episode,Solo Leveling – Season 1 – A Knight Who Defends an Empty Throne,unmatched,missing episode match metadata,,,,0
imdb://tt31529203,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E12 - Arise.mkv,episode,Solo Leveling – Season 1 – Arise,unmatched,missing episode match metadata,,,,0
local://24051,"F:\MediaStack\data\media\tv\Solo Leveling\Season 02\Solo Leveling - S02E01 - You Aren't E-Rank, Are You.mkv",episode,Solo Leveling – Season 2 – Episode 1,unmatched,missing episode match metadata,,,,0
local://24052,F:\MediaStack\data\media\tv\Solo Leveling\Season 02\Solo Leveling - S02E02 - I Suppose You Aren't Aware.mkv,episode,Solo Leveling – Season 2 – Episode 2,unmatched,missing episode match metadata,,,,0
local://24053,F:\MediaStack\data\media\tv\Solo Leveling\Season 02\Solo Leveling - S02E03 - Still a Long Way to Go.mkv,episode,Solo Leveling – Season 2 – Episode 3,unmatched,missing episode match metadata,,,,0
local://24054,F:\MediaStack\data\media\tv\Solo Leveling\Season 02\Solo Leveling - S02E04 - I Need to Stop Faking.mkv,episode,Solo Leveling – Season 2 – Episode 4,unmatched,missing episode match metadata,,,,0
imdb://tt0697760,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E16 - The Pothole.mkv,episode,Seinfeld – Season 8 – The Pothole,unmatched,missing episode match metadata,,,,0
imdb://tt0697691,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E17 - The English Patient.mkv,episode,Seinfeld – Season 8 – The English Patient,unmatched,missing episode match metadata,,,,0
imdb://tt0697737,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E18 - The Nap.mkv,episode,Seinfeld – Season 8 – The Nap,unmatched,missing episode match metadata,,,,0
imdb://tt0697814,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E19 - The Yada Yada.mkv,episode,Seinfeld – Season 8 – The Yada Yada,unmatched,missing episode match metadata,,,,0
imdb://tt0697732,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E20 - The Millennium.mkv,episode,Seinfeld – Season 8 – The Millennium,unmatched,missing episode match metadata,,,,0
imdb://tt0697736,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E21 - The Muffin Tops.mkv,episode,Seinfeld – Season 8 – The Muffin Tops,unmatched,missing episode match metadata,,,,0
imdb://tt0697794,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E22 - The Summer of George.mkv,episode,Seinfeld – Season 8 – The Summer of George,unmatched,missing episode match metadata,,,,0
imdb://tt0697665,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E01 - The Butter Shave.mkv,episode,Seinfeld – Season 9 – The Butter Shave,unmatched,missing episode match metadata,,,,0
imdb://tt0697806,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E02 - The Voice.mkv,episode,Seinfeld – Season 9 – The Voice,unmatched,missing episode match metadata,,,,0
imdb://tt0697773,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E03 - The Serenity Now.mkv,episode,Seinfeld – Season 9 – The Serenity Now,unmatched,missing episode match metadata,,,,0
imdb://tt0697658,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E04 - The Blood.mkv,episode,Seinfeld – Season 9 – The Blood,unmatched,missing episode match metadata,,,,0
imdb://tt0697716,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E05 - The Junk Mail.mkv,episode,Seinfeld – Season 9 – The Junk Mail,unmatched,missing episode match metadata,,,,0
imdb://tt0697731,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E06 - The Merv Griffin Show.mkv,episode,Seinfeld – Season 9 – The Merv Griffin Show,unmatched,missing episode match metadata,,,,0
imdb://tt0697777,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E07 - The Slicer.mkv,episode,Seinfeld – Season 9 – The Slicer,unmatched,missing episode match metadata,,,,0
imdb://tt0697655,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E08 - The Betrayal.mkv,episode,Seinfeld – Season 9 – The Betrayal,unmatched,missing episode match metadata,,,,0
imdb://tt0697651,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E09 - The Apology.mkv,episode,Seinfeld – Season 9 – The Apology,unmatched,missing episode match metadata,,,,0
imdb://tt0697790,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E10 - The Strike.mkv,episode,Seinfeld – Season 9 – The Strike,unmatched,missing episode match metadata,,,,0
imdb://tt0697683,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E11 - The Dealership.mkv,episode,Seinfeld – Season 9 – The Dealership,unmatched,missing episode match metadata,,,,0
imdb://tt0697767,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E12 - The Reverse Peephole.mkv,episode,Seinfeld – Season 9 – The Reverse Peephole,unmatched,missing episode match metadata,,,,0
imdb://tt0697670,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E13 - The Cartoon.mkv,episode,Seinfeld – Season 9 – The Cartoon,unmatched,missing episode match metadata,,,,0
imdb://tt0697791,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E14 - The Strongbox.mkv,episode,Seinfeld – Season 9 – The Strong Box,unmatched,missing episode match metadata,,,,0
imdb://tt0697813,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E15 - The Wizard.mkv,episode,Seinfeld – Season 9 – The Wizard,unmatched,missing episode match metadata,,,,0
imdb://tt0697663,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E16 - The Burning.mkv,episode,Seinfeld – Season 9 – The Burning,unmatched,missing episode match metadata,,,,0
imdb://tt0697659,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E17 - The Bookstore.mkv,episode,Seinfeld – Season 9 – The Bookstore,unmatched,missing episode match metadata,,,,0
imdb://tt0697701,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E18 - The Frogger.mkv,episode,Seinfeld – Season 9 – The Frogger,unmatched,missing episode match metadata,,,,0
imdb://tt0697666,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E12 - The Caddy.mkv,episode,Seinfeld – Season 7 – The Caddy,unmatched,missing episode match metadata,,,,0
imdb://tt0697774,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E13 - The Seven.mkv,episode,Seinfeld – Season 7 – The Seven,unmatched,missing episode match metadata,,,,0
imdb://tt0697667,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E14-E15 - The Cadillac (Part 1) + The Cadillac (Part 2).mkv,episode,Seinfeld – Season 7 – The Cadillac (1),unmatched,missing episode match metadata,,,,0
tmdb://63228,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E14-E15 - The Cadillac (Part 1) + The Cadillac (Part 2).mkv,episode,Seinfeld – Season 7 – The Cadillac (2),unmatched,missing episode match metadata,,,,0
imdb://tt0697776,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E16 - The Shower Head.mkv,episode,Seinfeld – Season 7 – The Shower Head,unmatched,missing episode match metadata,,,,0
imdb://tt0697687,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E17 - The Doll.mkv,episode,Seinfeld – Season 7 – The Doll,unmatched,missing episode match metadata,,,,0
imdb://tt0697700,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E18 - The Friars Club.mkv,episode,Seinfeld – Season 7 – The Friars Club,unmatched,missing episode match metadata,,,,0
imdb://tt0697811,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E19 - The Wig Master.mkv,episode,Seinfeld – Season 7 – The Wig Master,unmatched,missing episode match metadata,,,,0
imdb://tt0697669,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E20 - The Calzone.mkv,episode,Seinfeld – Season 7 – The Calzone,unmatched,missing episode match metadata,,,,0
imdb://tt0697660,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E21-E22 - The Bottle Deposit (Part 1) + The Bottle Deposit (Part 2).mkv,episode,Seinfeld – Season 7 – The Bottle Deposit (1),unmatched,missing episode match metadata,,,,0
tmdb://63235,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E21-E22 - The Bottle Deposit (Part 1) + The Bottle Deposit (Part 2).mkv,episode,Seinfeld – Season 7 – The Bottle Deposit (2),unmatched,missing episode match metadata,,,,0
imdb://tt0697807,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E23 - The Wait Out.mkv,episode,Seinfeld – Season 7 – The Wait Out,unmatched,missing episode match metadata,,,,0
imdb://tt0697712,F:\MediaStack\data\media\tv\Seinfeld\Season 07\Seinfeld - S07E24 - The Invitations.mkv,episode,Seinfeld – Season 7 – The Invitations,unmatched,missing episode match metadata,,,,0
imdb://tt0697699,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E01 - The Foundation.mkv,episode,Seinfeld – Season 8 – The Foundation,unmatched,missing episode match metadata,,,,0
imdb://tt0697780,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E02 - The Soul Mate.mkv,episode,Seinfeld – Season 8 – The Soul Mate,unmatched,missing episode match metadata,,,,0
imdb://tt0697657,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E03 - The Bizarro Jerry.mkv,episode,Seinfeld – Season 8 – The Bizarro Jerry,unmatched,missing episode match metadata,,,,0
imdb://tt0697725,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E04 - The Little Kicks.mkv,episode,Seinfeld – Season 8 – The Little Kicks,unmatched,missing episode match metadata,,,,0
imdb://tt0697746,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E05 - The Package.mkv,episode,Seinfeld – Season 8 – The Package,unmatched,missing episode match metadata,,,,0
imdb://tt0697694,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E06 - The Fatigues.mkv,episode,Seinfeld – Season 8 – The Fatigues,unmatched,missing episode match metadata,,,,0
imdb://tt0697672,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E07 - The Checks.mkv,episode,Seinfeld – Season 8 – The Checks,unmatched,missing episode match metadata,,,,0
imdb://tt0697674,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E08 - The Chicken Roaster.mkv,episode,Seinfeld – Season 8 – The Chicken Roaster,unmatched,missing episode match metadata,,,,0
imdb://tt0697646,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E09 - The Abstinence.mkv,episode,Seinfeld – Season 8 – The Abstinence,unmatched,missing episode match metadata,,,,0
imdb://tt0697649,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E10 - The Andrea Doria.mkv,episode,Seinfeld – Season 8 – The Andrea Doria,unmatched,missing episode match metadata,,,,0
imdb://tt0697724,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E11 - The Little Jerry.mkv,episode,Seinfeld – Season 8 – The Little Jerry,unmatched,missing episode match metadata,,,,0
imdb://tt0697734,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E12 - The Money.mkv,episode,Seinfeld – Season 8 – The Money,unmatched,missing episode match metadata,,,,0
imdb://tt0697678,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E13 - The Comeback.mkv,episode,Seinfeld – Season 8 – The Comeback,unmatched,missing episode match metadata,,,,0
imdb://tt0697803,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E14 - The Van Buren Boys.mkv,episode,Seinfeld – Season 8 – The Van Buren Boys,unmatched,missing episode match metadata,,,,0
imdb://tt0697795,F:\MediaStack\data\media\tv\Seinfeld\Season 08\Seinfeld - S08E15 - The Susie.mkv,episode,Seinfeld – Season 8 – The Susie,unmatched,missing episode match metadata,,,,0
imdb://tt0697796,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E11 - The Switch.mkv,episode,Seinfeld – Season 6 – The Switch,unmatched,missing episode match metadata,,,,0
