detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
no movie match,0,F:\MediaStack\data\media\movies\Se7en (1995)\Se7en (1995) [Bluray-1080p] {imdb-tt0114369}.mkv,,,movie,imdb://tt0114369,,unmatched,Se7en
no movie match,0,F:\MediaStack\data\media\movies\Seabiscuit (2003)\Seabiscuit (2003) [Bluray-1080p] {imdb-tt0329575}.mkv,,,movie,imdb://tt0329575,,unmatched,Seabiscuit
no movie match,0,F:\MediaStack\data\media\movies\The Searchers (1956)\The Searchers (1956) [Bluray-1080p] {imdb-tt0049730}.mp4,,,movie,imdb://tt0049730,,unmatched,The Searchers
no movie match,0,F:\MediaStack\data\media\movies\Secondhand Lions (2003)\Secondhand Lions (2003) [Bluray-1080p] {imdb-tt0327137}.mkv,,,movie,imdb://tt0327137,,unmatched,Secondhand Lions
no movie match,0,F:\MediaStack\data\media\movies\The Secret Garden (1993)\The Secret Garden (1993) [Bluray-1080p] {imdb-tt0108071}.mp4,,,movie,imdb://tt0108071,,unmatched,The Secret Garden
no movie match,0,F:\MediaStack\data\media\movies\The Secret Garden (2020)\The Secret Garden (2020) [Bluray-1080p] {imdb-tt2702920}.mkv,,,movie,imdb://tt2702920,,unmatched,The Secret Garden
no movie match,0,F:\MediaStack\data\media\movies\The Secret Life of Pets 2 (2019)\The Secret Life of Pets 2 (2019) [WEBRip-1080p] {imdb-tt5113040}.mp4,,,movie,imdb://tt5113040,,unmatched,The Secret Life of Pets 2
no movie match,0,F:\MediaStack\data\media\movies\The Secret Life of Walter Mitty (2013)\The Secret Life of Walter Mitty (2013) [Bluray-1080p] {imdb-tt0359950}.mp4,,,movie,imdb://tt0359950,,unmatched,The Secret Life of Walter Mitty
no movie match,0,F:\MediaStack\data\media\movies\The Secret of NIMH (1982)\The Secret of NIMH (1982) [Bluray-1080p] {imdb-tt0084649}.mp4,,,movie,imdb://tt0084649,,unmatched,The Secret of NIMH
no movie match,0,F:\MediaStack\data\media\movies\The Secret of NIMH 2 - Timmy to the Rescue (1998)\The Secret of NIMH 2 Timmy to the Rescue (1998) [WEBRip-1080p] {imdb-tt0171725}.mp4,,,movie,imdb://tt0171725,,unmatched,The Secret of NIMH 2: Timmy to the Rescue
no movie match,0,F:\MediaStack\data\media\movies\The Secret of Roan Inish (1994)\The Secret of Roan Inish (1994) [WEBRip-1080p] {imdb-tt0111112}.mp4,,,movie,imdb://tt0111112,,unmatched,The Secret of Roan Inish
no movie match,0,F:\MediaStack\data\media\movies\The Secret World of Arrietty (2010)\The Secret World of Arrietty (2010) [Bluray-1080p] {imdb-tt1568921}.m4v,,,movie,imdb://tt1568921,,unmatched,The Secret World of Arrietty
no movie match,0,F:\MediaStack\data\media\movies\Secretariat (2010)\Secretariat (2010) [Bluray-1080p] {imdb-tt1028576}.mp4,,,movie,imdb://tt1028576,,unmatched,Secretariat
no movie match,0,F:\MediaStack\data\media\movies\See Spot Run (2001)\See Spot Run (2001) [WEBDL-720p] {imdb-tt0250720}.mkv,,,movie,imdb://tt0250720,,unmatched,See Spot Run
no movie match,0,F:\MediaStack\data\media\movies\Selena (1997)\Selena (1997) [Bluray-1080p] {imdb-tt0120094}.mp4,,,movie,imdb://tt0120094,,unmatched,Selena
no movie match,0,F:\MediaStack\data\media\movies\Semi-Pro (2008)\Semi-Pro (2008) [Bluray-1080p] {imdb-tt0839980}.mp4,,,movie,imdb://tt0839980,,unmatched,Semi-Pro
no movie match,0,F:\MediaStack\data\media\movies\Senna (2010)\Senna (2010) [Bluray-1080p] {imdb-tt1424432}.mkv,,,movie,imdb://tt1424432,,unmatched,Senna
no movie match,0,F:\MediaStack\data\media\movies\San Andreas (2015)\San Andreas (2015) [Bluray-1080p] {imdb-tt2126355}.mp4,,,movie,imdb://tt2126355,,unmatched,San Andreas
no movie match,0,F:\MediaStack\data\media\movies\The Sandlot (1993)\The Sandlot (1993) [Bluray-1080p] {imdb-tt0108037}.mp4,,,movie,imdb://tt0108037,,unmatched,The Sandlot
no movie match,0,F:\MediaStack\data\media\movies\Santa Claus Is Comin' to Town (1970)\Santa Claus Is Comin to Town (1970) [Bluray-1080p] {imdb-tt0066327}.mp4,,,movie,imdb://tt0066327,,unmatched,Santa Claus Is Comin' to Town
no movie match,0,F:\MediaStack\data\media\movies\The Santa Clause (1994)\The Santa Clause (1994) [Bluray-1080p] {imdb-tt0111070}.mp4,,,movie,imdb://tt0111070,,unmatched,The Santa Clause
no movie match,0,F:\MediaStack\data\media\movies\The Santa Clause 2 (2002)\The Santa Clause 2 (2002) [Bluray-1080p] {imdb-tt0304669}.mkv,,,movie,imdb://tt0304669,,unmatched,The Santa Clause 2
no movie match,0,F:\MediaStack\data\media\movies\The Santa Clause 3 - The Escape Clause (2006)\The Santa Clause 3 The Escape Clause (2006) [Bluray-1080p] {imdb-tt0452681}.mkv,,,movie,imdb://tt0452681,,unmatched,The Santa Clause 3: The Escape Clause
no movie match,0,F:\MediaStack\data\media\movies\Saturday Night Live - The Best of Chris Farley (2003)\Saturday Night Live The Best of Chris Farley (2003) [WEBDL-480p] {imdb-tt0500100}.mkv,,,movie,imdb://tt0500100,,unmatched,Saturday Night Live: The Best of Chris Farley
no movie match,0,F:\MediaStack\data\media\movies\Saturday Night Live - The Best of Will Ferrell (2002)\Saturday Night Live The Best of Will Ferrell (2002) [WEBDL-480p] {imdb-tt0382275}.mkv,,,movie,imdb://tt0382275,,unmatched,Saturday Night Live: The Best of Will Ferrell
no movie match,0,F:\MediaStack\data\media\movies\Saturday Night Live - The Best of Will Ferrell - Volume 2 (2004)\Saturday Night Live The Best of Will Ferrell Volume 2 (2004) [WEBDL-480p] {imdb-tt0477851}.mkv,,,movie,imdb://tt0477851,,unmatched,Saturday Night Live: The Best of Will Ferrell - Volume 2
no movie match,0,F:\MediaStack\data\media\movies\Save the Last Dance (2001)\Save the Last Dance (2001) [Bluray-1080p] {imdb-tt0206275}.mp4,,,movie,imdb://tt0206275,,unmatched,Save the Last Dance
no movie match,0,F:\MediaStack\data\media\movies\Saving Mr. Banks (2013)\Saving Mr. Banks (2013) [Bluray-1080p] {imdb-tt2140373}.mkv,,,movie,imdb://tt2140373,,unmatched,Saving Mr. Banks
no movie match,0,F:\MediaStack\data\media\movies\Saving Silverman (2001)\Saving Silverman (2001) [WEBRip-720p] {imdb-tt0239948}.mp4,,,movie,imdb://tt0239948,,unmatched,Saving Silverman
no movie match,0,F:\MediaStack\data\media\movies\Scooby-Doo (2002)\Scooby-Doo (2002) [Bluray-1080p] {imdb-tt0267913}.mp4,,,movie,imdb://tt0267913,,unmatched,Scooby-Doo
no movie match,0,F:\MediaStack\data\media\movies\Rope (1948)\Rope (1948) [Bluray-1080p] {imdb-tt0040746}.mkv,,,movie,imdb://tt0040746,,unmatched,Rope
no movie match,0,F:\MediaStack\data\media\movies\Rover Dangerfield (1991)\Rover Dangerfield (1991) [Bluray-720p] {imdb-tt0102813}.mp4,,,movie,imdb://tt0102813,,unmatched,Rover Dangerfield
no movie match,0,F:\MediaStack\data\media\movies\A Royal Affair (2012)\A Royal Affair (2012) [Bluray-1080p] {imdb-tt1276419}.mkv,,,movie,imdb://tt1276419,,unmatched,A Royal Affair
no movie match,0,F:\MediaStack\data\media\movies\The Royal Tenenbaums (2001)\The Royal Tenenbaums (2001) [Bluray-1080p] {imdb-tt0265666}.mp4,,,movie,imdb://tt0265666,,unmatched,The Royal Tenenbaums
no movie match,0,"F:\MediaStack\data\media\movies\Ruby Gillman, Teenage Kraken (2023)\Ruby Gillman Teenage Kraken (2023) [WEBRip-1080p] {imdb-tt27155038}.mkv",,,movie,imdb://tt27155038,,unmatched,Ruby Gillman: Teenage Kraken
no movie match,0,F:\MediaStack\data\media\movies\Rudolph the Red-Nosed Reindeer (1964)\Rudolph the Red-Nosed Reindeer (1964) [Bluray-1080p] {imdb-tt0058536}.mp4,,,movie,imdb://tt0058536,,unmatched,Rudolph the Red-Nosed Reindeer
no movie match,0,F:\MediaStack\data\media\movies\Rugrats in Paris - The Movie (2000)\Rugrats in Paris The Movie (2000) [WEBRip-1080p] {imdb-tt0213203}.mkv,,,movie,imdb://tt0213203,,unmatched,Rugrats in Paris
no movie match,0,F:\MediaStack\data\media\movies\The Rugrats Movie (1998)\The Rugrats Movie (1998) [WEBDL-1080p] {imdb-tt0134067}.mkv,,,movie,imdb://tt0134067,,unmatched,The Rugrats Movie
no movie match,0,F:\MediaStack\data\media\movies\Rumble (2021)\Rumble (2021) [Bluray-1080p] {imdb-tt8337158}.mkv,,,movie,imdb://tt8337158,,unmatched,Rumble
no movie match,0,F:\MediaStack\data\media\movies\Runaway Bride (1999)\Runaway Bride (1999) [Bluray-1080p] {imdb-tt0163187}.mkv,,,movie,imdb://tt0163187,,unmatched,Runaway Bride
